Video Analysis Report
File,analysis.mp4
Time Analyzed,2026-05-12 15:21:39
Fall Detected,YES
Total Frames,621

Timestamp (s),Event,Direction,Angle (deg),Velocity
12.51,FALL_DETECTED,FORWARD,84.5,0.04
12.54,FALL_DETECTED,FORWARD,84.8,-0.01
12.58,FALL_DETECTED,FORWARD,84.7,0.03
12.61,FALL_DETECTED,FORWARD,83.4,0.09
12.64,FALL_DETECTED,FORWARD,84.8,-0.18
12.68,FALL_DETECTED,FORWARD,85.5,0.03
12.71,FALL_DETECTED,FORWARD,84.7,0.2
12.74,FALL_DETECTED,FORWARD,85.7,-0.07
12.78,FALL_DETECTED,FORWARD,84.6,0.16
12.81,FALL_DETECTED,FORWARD,85.6,-0.28
12.84,FALL_DETECTED,FORWARD,85.7,-0.04
12.88,FALL_DETECTED,FORWARD,85.9,0.01
12.91,FALL_DETECTED,FORWARD,85.9,0.0
12.94,FALL_DETECTED,FORWARD,85.6,0.04
12.98,FALL_DETECTED,FORWARD,86.2,-0.05
13.01,FALL_DETECTED,FORWARD,86.6,-0.06
13.04,FALL_DETECTED,FORWARD,87.0,-0.21
13.08,FALL_DETECTED,FORWARD,86.0,0.25
13.11,FALL_DETECTED,FORWARD,87.7,-0.33
13.14,FALL_DETECTED,FORWARD,87.6,0.15
13.18,FALL_DETECTED,FORWARD,87.5,-0.01
13.21,FALL_DETECTED,FORWARD,87.3,-0.06
13.24,FALL_DETECTED,FORWARD,86.9,0.07
13.28,FALL_DETECTED,FORWARD,87.1,-0.05
13.31,FALL_DETECTED,FORWARD,86.6,0.05
13.34,FALL_DETECTED,FORWARD,86.6,0.07
13.38,FALL_DETECTED,FORWARD,87.2,-0.09
13.41,FALL_DETECTED,FORWARD,86.3,0.2
13.44,FALL_DETECTED,FORWARD,86.6,-0.11
13.48,FALL_DETECTED,FORWARD,86.8,0.01
13.51,FALL_DETECTED,FORWARD,86.7,-0.06
13.54,FALL_DETECTED,FORWARD,86.1,0.16
13.58,FALL_DETECTED,FORWARD,87.0,-0.12
13.61,FALL_DETECTED,FORWARD,86.4,-0.02
13.64,FALL_DETECTED,FORWARD,85.9,0.1
13.68,FALL_DETECTED,FORWARD,86.9,-0.18
13.71,FALL_DETECTED,FORWARD,86.5,0.14
13.74,FALL_DETECTED,FORWARD,86.2,0.1
13.78,FALL_DETECTED,FORWARD,86.4,-0.05
13.81,FALL_DETECTED,FORWARD,86.2,-0.13
13.84,FALL_DETECTED,FORWARD,85.3,0.16
13.88,FALL_DETECTED,FORWARD,86.2,-0.08
13.91,FALL_DETECTED,FORWARD,84.9,0.18
13.94,FALL_DETECTED,FORWARD,86.1,-0.14
13.98,FALL_DETECTED,FORWARD,86.2,0.03
14.01,FALL_DETECTED,FORWARD,86.9,-0.03
14.04,FALL_DETECTED,FORWARD,86.2,0.04
14.08,FALL_DETECTED,FORWARD,86.8,-0.06
14.11,FALL_DETECTED,FORWARD,86.0,0.07
14.14,FALL_DETECTED,FORWARD,86.7,-0.05
14.18,FALL_DETECTED,FORWARD,86.8,-0.09
14.21,FALL_DETECTED,FORWARD,86.5,0.11
14.24,FALL_DETECTED,FORWARD,86.4,-0.01
14.28,FALL_DETECTED,FORWARD,86.5,-0.01
14.31,FALL_DETECTED,FORWARD,86.5,-0.0
14.34,FALL_DETECTED,FORWARD,86.5,0.0
14.38,FALL_DETECTED,FORWARD,85.2,0.11
14.41,FALL_DETECTED,FORWARD,87.3,-0.23
14.44,FALL_DETECTED,FORWARD,86.8,0.05
14.48,FALL_DETECTED,FORWARD,87.0,0.02
14.51,FALL_DETECTED,FORWARD,86.3,0.18
14.54,FALL_DETECTED,FORWARD,87.0,-0.18
14.58,FALL_DETECTED,FORWARD,87.1,-0.03
14.61,FALL_DETECTED,FORWARD,87.1,0.0
14.64,FALL_DETECTED,FORWARD,87.0,-0.05
14.68,FALL_DETECTED,FORWARD,87.0,0.07
14.71,FALL_DETECTED,FORWARD,87.0,-0.1
14.74,FALL_DETECTED,FORWARD,86.3,0.17
14.78,FALL_DETECTED,FORWARD,86.8,-0.1
14.81,FALL_DETECTED,FORWARD,86.7,0.19
14.84,FALL_DETECTED,FORWARD,86.9,-0.24
14.88,FALL_DETECTED,FORWARD,86.9,0.09
14.91,FALL_DETECTED,FORWARD,87.3,-0.04
14.94,FALL_DETECTED,FORWARD,86.7,0.11
14.98,FALL_DETECTED,FORWARD,88.1,-0.16
15.01,FALL_DETECTED,FORWARD,88.9,-0.08
15.04,FALL_DETECTED,FORWARD,88.4,0.09
15.08,FALL_DETECTED,FORWARD,88.3,-0.01
15.11,FALL_DETECTED,FORWARD,88.3,0.01
15.14,FALL_DETECTED,FORWARD,88.7,-0.06
15.18,FALL_DETECTED,FORWARD,87.6,0.21
15.21,FALL_DETECTED,FORWARD,87.8,-0.15
15.24,FALL_DETECTED,FORWARD,89.9,-0.16
15.28,FALL_DETECTED,FORWARD,89.8,0.03
15.31,FALL_DETECTED,FORWARD,88.9,0.27
15.34,FALL_DETECTED,FORWARD,89.4,-0.01
15.38,FALL_DETECTED,FORWARD,86.8,0.33
15.41,FALL_DETECTED,FORWARD,88.1,-0.07
15.44,FALL_DETECTED,FORWARD,87.2,-0.01
15.48,FALL_DETECTED,FORWARD,84.8,0.32
15.51,FALL_DETECTED,FORWARD,86.2,-0.1
15.54,FALL_DETECTED,FORWARD,86.5,-0.1
15.58,FALL_DETECTED,FORWARD,85.6,0.06
15.61,FALL_DETECTED,FORWARD,87.3,-0.16
15.64,FALL_DETECTED,FORWARD,87.5,0.13
15.68,FALL_DETECTED,FORWARD,87.3,-0.12
15.71,FALL_DETECTED,FORWARD,88.3,-0.01
15.74,FALL_DETECTED,FORWARD,89.1,-0.14
15.78,FALL_DETECTED,FORWARD,88.1,0.17
15.81,FALL_DETECTED,FORWARD,89.0,-0.19
15.84,FALL_DETECTED,FORWARD,88.6,0.16
15.88,FALL_DETECTED,FORWARD,88.2,-0.03
15.91,FALL_DETECTED,FORWARD,88.6,0.01
15.94,FALL_DETECTED,FORWARD,88.0,0.17
15.98,FALL_DETECTED,FORWARD,88.2,-0.06
16.01,FALL_DETECTED,FORWARD,88.4,-0.0
16.04,FALL_DETECTED,FORWARD,88.4,-0.1
16.08,FALL_DETECTED,FORWARD,88.7,-0.03
16.11,FALL_DETECTED,FORWARD,88.2,0.08
16.14,FALL_DETECTED,FORWARD,88.8,-0.13
16.18,FALL_DETECTED,FORWARD,88.5,0.06
16.21,FALL_DETECTED,FORWARD,89.1,-0.05
16.24,FALL_DETECTED,FORWARD,88.9,0.1
16.28,FALL_DETECTED,FORWARD,88.6,0.05
16.31,FALL_DETECTED,FORWARD,88.5,0.02
16.34,FALL_DETECTED,FORWARD,87.9,-0.01
16.38,FALL_DETECTED,FORWARD,88.0,-0.0
16.41,FALL_DETECTED,FORWARD,87.9,0.12
16.45,FALL_DETECTED,FORWARD,87.8,-0.05
16.48,FALL_DETECTED,FORWARD,88.4,-0.03
16.51,FALL_DETECTED,FORWARD,88.4,-0.02
16.55,FALL_DETECTED,FORWARD,89.0,-0.03
16.58,FALL_DETECTED,FORWARD,88.0,0.1
16.61,FALL_DETECTED,FORWARD,87.6,-0.01
16.65,FALL_DETECTED,FORWARD,87.5,0.17
16.68,FALL_DETECTED,FORWARD,87.4,0.07
16.71,FALL_DETECTED,FORWARD,87.9,-0.07
16.75,FALL_DETECTED,FORWARD,87.8,0.01
16.78,FALL_DETECTED,FORWARD,87.8,-0.01
16.81,FALL_DETECTED,FORWARD,87.9,-0.04
16.85,FALL_DETECTED,FORWARD,87.8,-0.06
16.88,FALL_DETECTED,FORWARD,87.3,0.17
16.91,FALL_DETECTED,FORWARD,87.6,-0.23
16.95,FALL_DETECTED,FORWARD,88.1,-0.09
16.98,FALL_DETECTED,FORWARD,87.5,0.11
17.01,FALL_DETECTED,FORWARD,88.2,0.0
17.05,FALL_DETECTED,FORWARD,87.9,-0.14
17.08,FALL_DETECTED,FORWARD,88.2,0.08
17.11,FALL_DETECTED,FORWARD,88.1,0.04
17.15,FALL_DETECTED,FORWARD,87.8,-0.02
17.18,FALL_DETECTED,FORWARD,88.7,-0.12
17.21,FALL_DETECTED,FORWARD,88.0,0.11
17.25,FALL_DETECTED,FORWARD,88.0,0.12
17.28,FALL_DETECTED,FORWARD,88.1,-0.06
17.31,FALL_DETECTED,FORWARD,87.7,0.03
17.35,FALL_DETECTED,FORWARD,88.1,-0.15
17.38,FALL_DETECTED,FORWARD,87.5,0.25
17.41,FALL_DETECTED,FORWARD,87.6,0.0
17.45,FALL_DETECTED,FORWARD,88.0,-0.21
17.48,FALL_DETECTED,FORWARD,88.5,-0.01
17.51,FALL_DETECTED,FORWARD,88.5,-0.06
17.55,FALL_DETECTED,FORWARD,88.4,-0.08
17.58,FALL_DETECTED,FORWARD,88.6,0.15
17.61,FALL_DETECTED,FORWARD,87.9,-0.01
17.65,FALL_DETECTED,FORWARD,88.0,0.0
17.68,FALL_DETECTED,FORWARD,88.4,-0.07
17.71,FALL_DETECTED,FORWARD,88.3,0.08
17.75,FALL_DETECTED,FORWARD,89.2,-0.21
17.78,FALL_DETECTED,FORWARD,88.4,0.11
17.81,FALL_DETECTED,FORWARD,89.4,-0.26
17.85,FALL_DETECTED,FORWARD,88.1,0.27
17.88,FALL_DETECTED,FORWARD,88.2,0.05
17.91,FALL_DETECTED,FORWARD,88.6,-0.22
17.95,FALL_DETECTED,FORWARD,88.1,-0.15
17.98,FALL_DETECTED,FORWARD,89.8,-0.22
18.01,FALL_DETECTED,FORWARD,88.3,0.37
18.05,FALL_DETECTED,FORWARD,89.9,-0.45
18.08,FALL_DETECTED,FORWARD,89.5,0.06
18.11,FALL_DETECTED,FORWARD,88.8,0.17
18.15,FALL_DETECTED,FORWARD,87.8,0.01
18.18,FALL_DETECTED,FORWARD,87.4,0.14
18.21,FALL_DETECTED,FORWARD,88.0,-0.02
18.25,FALL_DETECTED,FORWARD,87.8,-0.09
18.28,FALL_DETECTED,FORWARD,88.0,-0.15
18.31,FALL_DETECTED,FORWARD,87.9,0.02
18.35,FALL_DETECTED,FORWARD,87.6,0.05
18.38,FALL_DETECTED,FORWARD,86.6,0.15
18.41,FALL_DETECTED,FORWARD,85.8,-0.06
18.45,FALL_DETECTED,FORWARD,85.0,-0.01
18.48,FALL_DETECTED,FORWARD,81.6,0.42
18.51,FALL_DETECTED,FORWARD,81.0,-0.1
18.55,FALL_DETECTED,FORWARD,78.3,0.25
18.58,FALL_DETECTED,FORWARD,73.7,0.45
18.61,FALL_DETECTED,FORWARD,71.9,0.33
18.65,FALL_DETECTED,FORWARD,71.3,-0.27
18.68,FALL_DETECTED,FORWARD,71.5,-0.21
18.71,FALL_DETECTED,FORWARD,68.9,-0.17
18.75,FALL_DETECTED,FORWARD,67.0,0.1
18.78,FALL_DETECTED,FORWARD,64.9,-0.22
18.81,FALL_DETECTED,FORWARD,61.6,-0.29
18.85,CONFIRMED_FALL,FORWARD,57.4,0.03
18.88,CONFIRMED_FALL,FORWARD,57.4,0.14
18.91,CONFIRMED_FALL,FORWARD,55.3,-0.13
18.95,CONFIRMED_FALL,FORWARD,56.9,0.03
18.98,CONFIRMED_FALL,FORWARD,54.2,-0.27
19.01,CONFIRMED_FALL,FORWARD,56.2,-0.06
19.05,CONFIRMED_FALL,FORWARD,52.3,0.01
19.08,CONFIRMED_FALL,FORWARD,53.5,-0.1
19.11,CONFIRMED_FALL,FORWARD,55.1,-0.17
19.15,CONFIRMED_FALL,FORWARD,54.9,-0.16
19.18,CONFIRMED_FALL,FORWARD,57.8,-0.02
19.21,CONFIRMED_FALL,FORWARD,59.2,-0.21
19.25,CONFIRMED_FALL,FORWARD,54.4,-0.02
19.28,CONFIRMED_FALL,FORWARD,54.7,-0.11
19.31,CONFIRMED_FALL,FORWARD,51.9,-0.02
19.35,CONFIRMED_FALL,FORWARD,53.4,-0.19
19.38,CONFIRMED_FALL,FORWARD,53.7,-0.12
19.41,CONFIRMED_FALL,FORWARD,53.9,-0.05
19.45,CONFIRMED_FALL,FORWARD,55.3,-0.48
19.48,CONFIRMED_FALL,FORWARD,52.7,-0.07
19.51,CONFIRMED_FALL,FORWARD,50.5,-0.25
19.55,CONFIRMED_FALL,FORWARD,46.9,0.58
